playerId,sweaterNumber,name,position,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,pim,goalsAgainst,toi,starter,decision,shotsAgainst,saves,firstName,lastName,Team,gameId,homeRoadFlag
8478048,31,"{'default': 'I. Shesterkin', 'cs': 'I. Šesťorkin', 'fi': 'I. Shestjorkin', 'sk': 'I. Šesťorkin'}",G,35/38,4/4,0/0,39/42,0.928571,3,0,0,0,3,61:22,True,O,42,39,Igor,Shesterkin,NYR,2025020441,1
8478007,90,{'default': 'E. Merzlikins'},G,23/28,6/8,4/4,33/40,0.825,5,2,0,0,7,64:31,True,O,40,33,Elvis,Merzlikins,CBJ,2025020442,0
8475683,72,"{'default': 'S. Bobrovsky', 'cs': 'S. Bobrovskij', 'fi': 'S. Bobrovski', 'sk': 'S. Bobrovskij'}",G,21/26,4/5,0/0,25/31,0.806452,5,1,0,0,6,64:56,True,W,31,25,Sergei,Bobrovsky,FLA,2025020442,1
8474596,34,{'default': 'J. Allen'},G,16/19,1/1,1/1,18/21,0.857143,3,0,0,0,3,59:32,True,L,21,18,Jake,Allen,NJD,2025020443,0
8480280,1,{'default': 'J. Swayman'},G,27/28,1/1,1/1,29/30,0.966667,1,0,0,0,1,60:00,True,W,30,29,Jeremy,Swayman,BOS,2025020443,1
8482487,75,{'default': 'J. Dobes'},G,21/21,1/1,0/1,22/23,0.956522,0,0,1,0,1,64:29,True,W,23,22,Jakub,Dobes,MTL,2025020444,0
8483710,35,{'default': 'D. Hildeby'},G,25/25,7/8,1/1,33/34,0.970588,0,1,0,0,1,64:43,True,O,34,33,Dennis,Hildeby,TOR,2025020444,1
8480981,30,{'default': 'J. Hofer'},G,28/28,13/14,0/0,41/42,0.97619,0,1,0,2,1,59:49,True,W,42,41,Joel,Hofer,STL,2025020445,0
8476999,35,{'default': 'L. Ullmark'},G,17/19,1/1,0/0,18/20,0.9,2,0,0,0,2,57:55,True,L,20,18,Linus,Ullmark,OTT,2025020445,1
8478009,30,{'default': 'I. Sorokin'},G,26/26,5/5,1/1,32/32,1.0,0,0,0,0,0,59:50,True,W,32,32,Ilya,Sorokin,NYI,2025020446,0
8477992,31,{'default': 'J. Johansson'},G,16/16,1/2,0/0,17/18,0.944444,0,1,0,0,1,56:46,True,L,18,17,Jonas,Johansson,TBL,2025020446,1
8477424,74,{'default': 'J. Saros'},G,19/23,11/13,2/2,32/38,0.842105,4,2,0,0,6,48:12,True,L,38,32,Juuse,Saros,NSH,2025020447,0
8483548,32,{'default': 'B. Bussi'},G,16/18,2/3,1/1,19/22,0.863636,2,1,0,0,3,59:56,True,W,22,19,Brandon,Bussi,CAR,2025020447,1
8477970,41,"{'default': 'V. Vanecek', 'cs': 'V. Vaněček', 'sk': 'V. Vaněček'}",G,17/18,4/4,0/0,21/22,0.954545,1,0,0,0,1,59:10,True,L,22,21,Vitek,Vanecek,UTA,2025020448,0
8481692,32,{'default': 'D. Wolf'},G,28/28,0/0,0/0,28/28,1.0,0,0,0,0,0,60:00,True,W,28,28,Dustin,Wolf,CGY,2025020448,1
8481519,30,{'default': 'S. Knight'},G,23/28,2/3,1/1,26/32,0.8125,5,1,0,0,6,59:42,True,L,32,26,Spencer,Knight,CHI,2025020449,0
8475311,35,{'default': 'D. Kuemper'},G,22/22,0/0,1/1,23/23,1.0,0,0,0,0,0,60:00,True,W,23,23,Darcy,Kuemper,LAK,2025020449,1
8477480,1,{'default': 'E. Comrie'},G,12/15,0/1,0/0,12/16,0.75,3,1,0,0,4,19:44,True,L,16,12,Eric,Comrie,WPG,2025020450,0
